# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP-GutHK_D11_089   -               17     878      13     877       3     882    1466    +           0 1034.1  23.7  -
Vibrionaceae_Photobacterium                      -          LKAP-GutHK_D11_089   -               15     878      11     877       3     882    1487    +    4.6e-293  973.1  23.6  -
Vibrionaceae_Aliivibrio                          -          LKAP-GutHK_D11_089   -               47     891      16     876       2     882    1474    +    2.1e-283  941.5  22.7  -
Vibrionaceae_Enterovibrio                        -          LKAP-GutHK_D11_089   -               14     871      10     876       3     882    1499    +    1.1e-276  918.7  23.3  -
Vibrionaceae_Grimontia                           -          LKAP-GutHK_D11_089   -               14     877      10     876       3     882    1493    +    2.6e-276  917.6  23.7  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GutHK_D11_089   -               13     877       9     876       3     882    1475    +    1.2e-261  868.9  23.7  -
Shewanellaceae_Shewanella                        -          LKAP-GutHK_D11_089   -               22     869      15     876       2     882    1483    +    1.4e-257  855.6  22.5  -
Vibrionaceae_Salinivibrio                        -          LKAP-GutHK_D11_089   -               42     899      16     876       3     882    1502    +    2.6e-256  850.9  23.2  -
Erwiniaceae_Erwinia                              -          LKAP-GutHK_D11_089   -               23     867      16     876       3     882    1495    +    9.4e-256  849.7  23.0  -
Yersiniaceae_Serratia                            -          LKAP-GutHK_D11_089   -               18     871      10     876       3     882    1491    +    5.3e-255  847.0  23.1  -
Erwiniaceae_Tatumella                            -          LKAP-GutHK_D11_089   -               23     867      16     876       2     882    1490    +    7.3e-253  840.0  23.2  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GutHK_D11_089   -               30     882      11     876       3     882    1517    +    1.4e-252  839.1  22.9  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GutHK_D11_089   -               23     875      11     876       3     882    1499    +    1.8e-252  838.8  23.0  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GutHK_D11_089   -               21     863      16     876       3     882    1476    +    3.4e-252  837.8  23.0  -
Enterobacteriaceae_Salmonella                    -          LKAP-GutHK_D11_089   -               19     863      16     876       3     882    1457    +    7.9e-252  836.7  22.8  -
